BAHASA TUNJUNG,TURUNAN KATA,BAHASA INDONESIA,BAHASA INGGRIS,JENIS KATA,KALIMAT BAHASA TUNJUNG,KALIMAT BAHASA INDONESIA,KALIMAT BAHASA INGGRIS ,DIALEK
ngayoq,,gerakan berpura-pura akan memukul ,"feint, fake move",v,,:,,
ngeat,,membanggakan diri,brag,v,,,,
ngebes,,mengibaskan,to wave. to flick,v,,,,
ngeborong,,borongan,Wholesale,n,,,,
ngebue,,ninabobo,ninabobo,n,,,,
ngecatn,,memasang tangga atau menjadi seperti tangga. ngecek,set up a ladder,v,,,,
ngecijiq,,mencibir,sneer / To scoff / To mock,v,,,,
ngeciraq,,"masuk angin, perut kembung.",Catching a cold / Malaise,n,,,,
ngecit,,mencekik.,choke,v,,,,
ngeco,,"meluruskan; membuka lipatan kain, tali",unbend,v,,,,
ngecok,,mengisap (rokok),smoke,v,,,,
ngedesukng,,waktu; saat,Time / Moment / Period,n,,,,
ngedopm,,"mendung, menjadi redup akibat cahaya terhalang. ",Cloudy,v,,,,
ngedot,,jalan kaki,walk,v,,,,
ngeep,,hinggap,perch,v,,,,
ngehamur,,menghambur,scatter,v,akuq ngehamur tulakng bayam,saya menghambur biji bayam,I scattered the spinach seeds,
ngehaq,,berburu (secara umum),hunt,v,Rudi kaat ngehaq ja Pajaai.,Rudi pergi berburu ke Pajaai.,Rudi went hunting to Pajaai.,
ngehenekng,,mendengarkan,listen,v,,,,
ngeheng,,mengeringkan,dry,v,,,,
ngehun,,ambil semua,Take it all,v,,,,
ngejijiq,,unjuk gigi,prove oneself / show one's mettle ,v,,,,
ngejiu,,pergi tiba-tiba,leave suddenl,v,,,,
ngeka,,aborsi,Abortion,n,aman teheeq boteq ngeka,"kalau hamil, jangan aborsi","If you're pregnant, don't have an abortion.",
ngekai,,minta bantuan; mengganggu; nerengeh,ask for help,v,,,,
ngekap,,ngeram, brood / incubate,v,,,,
ngekeet,,menggigit.,bite,v,,,,
ngeker,,melihat dengan mata disipitkan,squint,v,,,,
ngekeu,,mengipasi api agar menyala ,fan a fire,v,,,,
ngekeu,,mengipas,fan,v,,,,
ngekeu ngebuq,,mengipasi dengan kain.,fan with a cloth,v,,,,
ngelaar,,membantu teman kerja yang tertinggal saat menebas di ladang,,,,,,
ngelamoq,,memuji-muji (anak),praise,v,,,,
ngelampot,,mancing ikan dan pancingnya dipasangi gabus ,Fishing with a float,v,,,,
ngelamukng,,anak ayam yang baru ditetas,Hatchling,n,,,,
ngelau,,sakit kepala,Headache,n,,,,
ngelau,,bayi muntah,Infant vomit,n,,,,
ngelegat,,mengambil (tulang belulang),collect the bones,v,,,,
ngeleib,,,,,coba kapm neau ngeleib ngelikup dapeeq tih,,,
ngelengkas,,melangkah,step,v,,,,
ngeliatn,,dapat; bisa,Can / Be able to / May / To get / To be able to,v,,,,
ngelikup ,,mengelilingi,surround,v,coba kapm neau ngeleib ngelikup dape tih,,,
ngelilu,,mengasah parang di batu,sharpen a machete on a stone,v,,,,
ngeloas,,melepaskan.,To release / To let go / To detach / To free,v,,,,
ngelohak,,membuang dahak,spit out phlegm,v,,,,
ngelohop,,menelan,To swallow / To gulp / To ingest,v,,,,
ngeloi,,pergi berjalan dengan tangan kosong.,go empty-handed,v,,,,
ngeloloh,,menelanjangi,"strip (naked) , Undressed",v,Mee ngeloloh anakke bayaq gantiq sapai,Ibu menelanjangi anaknya saat ganti baju,The mother undressed her child while changing clothes.,
ngelonya,,bagaimana,How,conj,,,,
ngeloq,,mengoseng; mengaduk,fry,v,,,,
ngelubakng,,menguburkan,Bury,v,,,,
ngeluse,,meluruskan (benang),straighten (out) a thread,v,,,,
ngemar,,mengikat jadi satu atau mendempetkan dua benda,tie together,v,,,,
ngemenya,,bagaimana,How,v,,,,
ngemeter,,mengukur,measure,v,,,,
ngemperah,,aniaya,To abuse / To persecute / To mistreat,v,,,,
ngempuhuq,,membakar sarang penyengat,burn a wasp nest,v,,,,
ngempuhuq,,berkudis,Scabby,a ,,,,
ngempulikng,,melotot,To glare / To stare (wide-eyed),v,,,,
ngemuk,,cium,kiss,v,pore was tuhi aneh teq ngemuuk,"bagus sekali,anak itu dicium",,
ngemusuh,,dendam,Revenge,v,,,,
ngemutn,,mengembun,condense,v,,,,
ngenai,,membetulkan; memperbaiki.,To fix / To repair,v,,,,
ngenapm,,makan makanan tetapi tidak ditelan,chew but not swallow,v,,,,
ngenaq,,memasang,To install / To set up,v,,,,
ngenaq,,berusaha agar tepat sasaran,strive for accuracy,v,,,,
ngenas,,minta kejelasam atau kepastian,ask for clarification or confirmation,v,,,,
ngenau,,meletakkan dekat dengan api agar kering,place near the fire to dry,v,,,,
ngenau,,rotan manau,Manau rattan,n,,,,
ngencak,,memasak,cook,v,kamiq knekng no ngencaak dopukng,kami tadi siang memasak lemang.,We cooked lemang this afternoon.,
ngencekng,,menggoyang pohon,shake a tree,v,,,,
ngencelup,,merasa neriding sekejap,sudden chill,v,,,,
ngencijiq,,mengejek dengan menyengir kuda.,sneer,v,,,,
ngenciraq,,"perut kembung, masuk angin",Bloated,a ,,,,
ngenciraq,,keran ginjal,kidney valve,n,,,,
ngengkohoi,,induk,Mother,n,,,,
ngeniq,,kencing ,pee,v,:,,:,
ngeniq eteq lantiro,,ngompol ,wet the bed,v,,,,
ngenoh,,bujuk,persuade,v,,,,
ngenoh,,mengerti; tahu,understand,v,,,,
ngenoh ngenam ,,tahu sama persoalan,know the issue,v,,,,
ngenos,,bepergian sendiri,To travel alone / To travel solo,v,,,,
ngentaq,,berusaha memahan; tidak semaunya,to hold back / to restrain,v,,,,
ngentekng,,menyampirkan,To drape / To hang (over) / To sling (over) / To loop (over),v,,,,
ngentelo,,bertelur,lay eggs,v,,,,
ngentokng,,memukul-mukul batang pohon agar kulitnya terlepas ,loosen the bark,v,,,,
ngentotn,,merencanakan,plan,v,,,,
ngentur,,memukul dengan alat dari kayu agar mayang enau bisa menjadi air nira,To tap/beat the palm flower stalk to stimulate the sap/toddy flow,v,,,,
ngenu,,memandikan,bathe,b,,,,
ngenunuk,,lebatnya seperti beringin,/lush as a banyan tree,a ,,,,
ngenyar,,makan sampai kekenyangan,overeat,v,,,,
ngeok,,"memutar leher, memelintir.",wring (the neck),v,,,,
ngeong,,"berbelok,membelokkan.",turn,v,,,,
ngeor,,aduk (nasi),stir,v,garin akui yaq waweeq lagiiq ngeoor kanan,adik perempuan saya sedang mengaduk nasi,My sister is stirring the rice.,
ngepak,,membuang kulit kayu,strip the bark,v,,,,
ngepakng,,memeluk ,hug,v,,:,,
ngepakng ngepekng,,pelukan kerinduan ,longing embrace,v,,,,
ngepekng,,memeluk erat,hug tightly,v,,,,
ngepiq,,memepikan atau nerapikan barang-barang,tidy up,v,,,,
ngepit,,menjepit,clip,v,,,,
ngepok,,suara kapak atau parang beradu dengan kayu,The sound of an axe or machete chopping wood,v,,,,
ngepong,,"mengepung, mengitari.","circle, encircle",v,,,,
ngepor,,menebang pada pangkal pohon.,fell a tree at the base,v,,,,
ngepos,,mengempiskan,To deflate / To let the air out of / To flatten / To shrink,v,,,,
ngepot,,melubangi daun telinga atau hidung.,pierce the earlobe or nose,v,,,,
ngepur,,mengeluarkan makanan dari dalam mulut dengan cara meniup,spit out food,v,,,,
ngerabaq,,merambat; menjalar,creep,v,,,,
ngerakng,,membuat tanda dihutan yang mau dibuat ladang ,mark out a field,v,,,,
ngerampas,,merampas,seize,v,,,,
ngerangkau,,tarian kematian,Dance of Death,n,,,,
ngeraoi,,melambai dengan dua tangan,wave two-handed,v,,,,
ngerasaq,,mencelupkan jari ke dalam air,dip a finger into the water,v ,,,,
ngerasiq,,membersihkan (pohon),clear (a tree),v,,,,
ngeratetn,,lecet yang terdapat sela paha akibat pakaian basah atau sempit,Chafing,n,,,,
ngerau,,menggoncang - goncang dahan pohon agar buahnya jatuh,shake the tree branches to make the fruit fall,v,,,,
ngerawe,,mencapai,reach,v,,,,
ngerebeq,,agak miring (tanah),Slightly sloped land,a ,,,,
ngerededek,,mendidih,boil,v,,,,
ngerehatn,,menggoreng.,fry,v,,,,
ngereja,,gereja,church,v,,,,
ngerek,,menggerek,To hoist / To haul up / To raise,v,,,,
ngereken,,hitung, count,v,,,,
ngeremoe,,banyak sekali (semut),A lot of ants,n,,,,
ngerempalot,,segan; enggan,Hesitant,a ,,,,
ngerencekng,,mengayunkan parang dengan arah horizontal di mulai dan depan menuju ke samping untuk menebang atau memotong sesuatu,swing a machete horizontally,v,,,,
ngereweh,,menjuntai keluar,to hang down / to dangle / to droop,v,,,,
ngerikih,,korengan,Scabs,n,,,,
ngerim,,mengerem,brake,v,,,,
ngeringai,,saudaranya.,His/Her sibling,n,,,,
ngeringan,,saudara,sibling,n,,,,
ngeringang,,saudaraku,my sibling,n,,,,
ngeringapm,,"saudaramu, temanmu",your sibling,n,,,,
ngeringaq,,saudara,conrade,pp,ngeringaq-ngeringaq coba nyenpening aku baq memeq ritaq yaq bajik uas,saudara-saudara coba dengarkan aku ada bawa berita yang sangat baik,"conrades, listen, i have very good news.",
ngeringaq,,saudara,sibling,n,,,,
ngeringkipm,,takut akan terjadi sesuatu ; merasa ngeri ,Apprehensive,v,,,,
ngeringkipm,,semut pengganggu tanaman tebu,Sugarcane pest ants,n,,,,
ngeriraq,,sakit di sekitar rusuk,Rib pain,n,,,,
ngerirep,,isyarat (mata),An eye signal,n,,,,
ngeririu,,memercikkan air,splash water,v,,,,
ngerjaq,,dapat,Can / Be able to / May / To get / To be able to,v,,,,
ngerok,,menusuk-musuk sambil digoyang.,to poke and wiggle,v,,,,
ngeromek,,meremas,squeeze,v,,,,
ngerongo,,adat pengucapan syukur  ,Thanksgiving ritual,n,,,,
ngerongoq,,menipu; membohongi.,deceive ,v,,,,
ngerop,,kunyah,chew,v,,,,
ngeros,,suara benda yang berudu dengan daun.,The sound of an object hitting,n,,,,
ngeros,,suara benda yang renyah jika tergigit,crunchy,n,,,,
ngerot,,menggerogoti.,To gnaw / To nibble at / To erode / To undermine,v,,,,
ngertaq,,gertak,To bluff / To threaten / To intimidate,v,,,,
ngeruk,,menyembelih,slaughter,v,,,,
ngerun,,belenggu,Shackles,n,,,,
ngerunyat,,tindih; menindih.,overlay,v,,,,
ngeruq,,membalik (nasi),turn (the rice,v,,,,
ngeruq,,aduk,stir,v,,,,
ngeruq,,mengaduk,stir,v,Dila lagiiq ngeruuq kopi,adik sedang mengaduk kopi,My younger sibling is stirring coffee,
ngesah,,membicarakan,discuss,v,,,,
ngeseek,,menjepit kutu dengan ibu jari agar mati,pop a louse,v,,,,
ngesek,,menyentak joran pancing.,jerk the fishing rod,v,,,,
ngesek,,memapas ranting -ranting di pangkalnya.,To chop/cut off the branches at their base,v,,,,
ngesiq,,kupas,peel,v,,,,
ngesok,,menggeser,"shift, slide",v,Tolong koq ngesok simpiq jooq!,Tolong kamu geserkan panci itu!,Please slide that pot over!,
ngesus,,menghalau ayam,chase away chickens,v,,,,
ngeta,,memipil atau melepaskan buah dari tangkainya,pick/pluck,v,,,,
ngetakng,,tukang belian menggoyangkan gelang di tangannya sambil menari agar gelang-gelang yang dipakai saling beradu dan mengeluarkan bunyi.,shook the bracelets on their hands,v,,,,
ngetanaq,,coklat,Chocolate / Brown,n / a,,,,
ngetau,,memasangkan kain ketau,to put on / to drape the ketau cloth,v,,,,
ngetip,,mencubit. ,pinch,v,,,,
ngetip mengot,,mencubit-cubit,repeatedly pinch,v,,,,
ngetiu,,menggerak- gerakkan telunjuk ; menunjuk ke depan seseorang,wigle index finger,v,,,,
ngetok,,mengetuk.,To knock / To tap,v,,,,
ngetokng,,buah cempedak yang masih kecil,Young cempedak fruit,n,,,,
ngetokng,,membunyikan ketookng (alat musik tradisional). ,play the Ketookng,v,,,,
ngetooq,,"panen, ngetan, potong padi",Harvest,v,Eraq ngetooq parai,Mereka potong padi di ladang,They are harvesting rice in the field.,
ngetup,,menggigit dengan gigi depan,To nibble / To gnaw,v,,,,
ngetuq,,mengentalkan supaya menjadi kental.,To make thick / To condense,v,,,,
ngetut,,kentut,fart,v,,,,
ngeu,,melambai,wave,v,,,,
ngeyak,,membuka kulit kayu dari ujung.,peel bark from the end,v,,,,
ngeyok,,memelintir leher,twist someone’s neck,v,,,,
ngidah,,memberikan barang miliknya pada seseorang.,hand over one's property to someone,v,,,,
ngigih,,anjing menggarukkan badannya dengan kaki belakang.,kick-scratch,v,,,,
ngihet,,mengeratkan,tighten,v,,,,
ngihi,,membakar sisa dedaunan yang belum terbakar,burn off the unburned leaves,v,,,,
ngihok,,mencekik leher,choke,v,,,,
ngijok,,menusuk.,stab,v,,,,
ngika,,membongkar,To disassemble / To unpack,v,,,,
ngiki,,mengikis.,"erode, shave off, scrape",v,,,,
ngikir,,"mengikir, menipiskan parang dengan kikir",File / Rasp,v,,,,
ngilo,,menimbang atau menakar.,weigh ,v,,,,
ngilok,,menggelitik.,tickle,v,,,,
nginah,,memindahkan,move,v,"kamiq ewah nginah meja kajuq joq, tapi heq ngulih","kami ingin memindahkan meja kayu itu, tetapi tidak bisa","we wanted to move the wooden table, but we couldn't move it",
nginyan,,gerakan mulut waktu mengunyah makanan,chew,v,,,,
ngipi,,menipis,make somthing thin or straight,v,maaq ngipi gai,bapak menipis rotan,my father makes rattan straight,
ngirah,,membersihkan beras dengan air sebelum dimasak,To rinse rice,v,,,,
ngiraq,,memperkirakan,"estimate, predict",v,,,,
ngire,,mematut-matutkan diri di depan cermin.,preen,v,,,,
ngiriiu,,ucapan yang mendekati arti sebenarnya.,literal expression,n,,,,
ngirik,,menekan sambil memutar,press and twist,n,,,,
ngirikng,,menuntun,"lead, guide",v,,,,
ngisar,,"menggiling padi dengan gilingan kayu, memutar barang supaya tampak yang diinginkan",mill rice with a wooden grinder,v,,,,
ngisoos,,menggosokkan badan pada seseorang atau benda lainnya.,rub one’s body against someone/something,v,,,,
ngitak,,memanggil nenek,call grandmother,v,,,,
ngitar,,"memutar, memilin.","turn, spin",v,,,,
ngitik,,menggelitik,tickle,v,,,,
ngitiu,,menggoyang-goyangkan kayu sebagai tanda tangan,wave a stick as a signal,v,,,,
ngitukng,,menghitung,count,v,,,,
ngkaas ngkuus,,bekerja dengan gerakan yang kasar karena marah.,work angrily with harsh motions,v,,,,
ngkabakng,,nama sejenis kayu tengkawang yang baik untuk atap dan dinding rumah.,illipe wood,v,,,,
ngkadi,,hanya ini saja yang masih ada atau habis,There’s none left,,,,,
ngkahak,,membuang; meludah dahak,spit phlegm,v,,,,
ngkakak,,tertawa terbahak- bahak; tertawa ngakak.,laugh out loud,v,,,,
ngkalaai,,sejenis kayu akar yang keras tumbuh melingkar atau melilit,twining root wood,n,,,,
ngkaneet,,sejenis burung pengganggu burung elang.,type of bird that harasses eagles,n,,,,
ngkapok,,bertepuk tangan,clap,v,,,,
ngkarukng,,sejenis tumbuhan menjalar yang berduri melengkung dan sangat tajam.,spiny vine,n,,,,
ngkat,,memegang.,hold / To grip / To grasp,v,,,,
ngkebokng,,sejenis kayu berbatang lemah dan ringan serta berdaun lebar yang baik untuk bahan pembungkus nasi,broad-leaved wrapping tree,n,,,,
ngkehen,,berdehem,cough slightly,v,,,,
ngkekek,,suara perempuan terkekeh-kekeh.,a woman’s giggle.,n,,,,
ngkelebokng,,melepuh,blister,v,,,,
ngkenadi,,habis,"finished, over, done",a,,,,
ngketak,,membunyikan lidah karena marah dan kesal.,A tongue click / A cluck,n/v,,,,
ngkihip,,suara desisan mulut karena kepedasan,hiss,n,,,,
ngkohopm,,semut gula,sugar ant,n,,,,
ngkokiu,,bersiul,whistle,v,,,,
ngkokok,,ayam berkokok,The rooster crows,v,,,,
ngkolakng,,lantai dari kayu bulat ditanah,a log-based ground floor,n,,,,
ngkoq,,bingkai rotan pada pinggir nyiru,frame on the edge of the winnowing basket,n,,,,
ngkuduq,,mengkudu,Noni (Morinda citrifolia),n,,,,
ngkut,,penahan pelatuk pada jeral binatang,the restraining peg for the trigger on an animal snare,n,,,,
ngo,,"sungguh, betul","truly, really, indeed",adv,,,,
ngobit,,jawil; sentuh; colek (dengan ujung jari),poke,v,,,,
ngobok,,menimpas secara membabi buta.,strike blindly,v,,,,
ngoboq,,menakar dengan koboq,measure with a traditional scoop,v,,,,
ngocok,,mengguncang.,shake,v,,,,
ngodak,,mengaduk.,"stir, mix",v,,,,
ngodos,,menggosokkan anggota badan ke benda yang lainnya. ,rub one’s body against something,v,,,,
ngoer,,menyentil,flick,v,,,,
ngogir,,gerakan menggaruk,scratch,v,,,,
ngohak,,istirahat.,"rest, break",v,,,,
ngohet,,melukai sedikit dengan benda tajam,nick,v,,,,
ngohot,,garuk,scratch,v,,,,
ngojaq,,"memperbaiki,mengubah","fix, modify",v,,,,
ngojat,,meluruskan (kaki),stretch out (one's leg),v,,,,
ngojit,,meloncat dan melarikan diri,"to run away, to escape, to flee",v,,,,
ngojookng,,mengayunkan,swing,v,,,,
ngojuh,,baring atau tidur telentang di tengah ruangan,lie or sleep supine in the middle of the room.,v,,,,
ngoker,,mengais.,scavenge – rummage – forage – dig through,v,,,,
ngokiu,,bersiul.,whistle,v,,,,
ngokooq,,nama jenis belian untuk anak atau orang sakit.,Traditional healer / Shaman,n,,,,
ngokoot,,merogoh,dig into,v,,,,
ngokor,,mengeluarkan tanah dari lubang memakai tangan,hand-dig,v,,,,
ngokor,,istilah untuk batuk yang tak henti - hentinya,persistent cough,n,,,,
ngolai,,menyebut sesuatu berulang kali.,reiterate,v,,,,
ngolas,,melepaskan ikatan atau suatu yang tersangkut,untie,v,,,,
ngolatn,,mengambil alih tempat atau kedudukan,"take over, replace",v,,,,
ngoleet,,oles,apply,v,,,,
ngolek,,berbaring (tanpa alas atau tikar),lie down bare,v,sion kepai was saq teloh tunang ngolek diq rahi,karena terlalu lelah dia langsung berbaring di serambi,"Exhausted, she immediately lay down bare on the porch.",
ngolos,,membungkus,wrap,v,,,,
ngoluq,,tidak mau berbicara dengan lawan,Refusing to engage with the opposition,v,,,,
ngomet,,jawil; sentuh; colek (dengan ujung jari),To nudge / To tap / To poke,v,,,,
ngomu,,membersihkan ladang yang mau ditanam padi (belukar),clear the field (of bush/scrub) for rice planting.,v,,,,
ngonaan,,kurang baik.,Not good / Poor / Below standard / Unwell,a,,,,
ngonet,,melambai.,wave,v,,,,
ngongkaat,,luapan amarah atau kekecewaan seseorang dengan memaparkan semua bantuan yang pernah ia berikan,throw past favors in someone's face,n,,,,
ngonih,,membisiki,whisper,v,,,,
ngonoot,,menyelimuti,cover,v,,,,
ngonpa,,"memompa, memprovokasi",pump up,v,,,,
ngontan,,"membayar kontan, berkata blak - blakan.",speak frankly,v,,,,
ngontapm,,merencanakan atau berusaha untuk pergi,attempt to leave,v,,,,
ngontekng,,menggantung; menyampirkan,"to hang; to drape, to sling over, atau to hang over",v,saq ngontekng sapai ke diq rinikng,dia menyampirkan bajunya di dinding,He/She draped his/her shirt on the wall.,
ngorek,,cara memanggil burung dengan alat terbuat dari bilah bambu dengan cara digosok-gosok,a method of attracting birds with a bamboo strip tool rubbed to produce sound,n,,,,
ngores,,mengambil sampai tak bersisa,to take completely,v,,,,
ngoruk,,"mendengkur, ngorok",to snore,v,,,,
ngorut,,memarut,"to grate, to shred",v,,,,
ngoseq,,mengeluarkan simpanan,to take money out of savings; to bring out the stock/hoard,v,,,,
ngoser,,menggosokkan kaki,to rub (one’s) foot/feet,v,,,,
ngosok,,gosok; menggosok,to rub,v,,,,
ngotakng,,melintasi,"to cross, to pass through",v,,,,
ngotaq,,"memasukkan ke dalam kotak, membuat kotak",to put into a box; to make a box,v,,,,
ngoteq,,kelakar,"joke, jest",n,,,,
ngoteu,,lagu atau pantun yang berbahasa Benuaq,songs or quatrains in the Benuaq language,n,,,,
ngotip,,seperti ditusuk,like being stabbed,v,,,,
ngowai,,"tidak percaya, tidak yakin, meremehkan.","not believe, uncertain, underestimate",v,,,,
ngower,,menyentuh,touch,v,,,,
ngoyak,,menggerakkan kian kemari agar mudah dicabut,to wiggle back and forth to make it easier to pull out,v,,,,
ngoyaq,,mengupas kulit atau pelepah rotan.,to peel the skin or sheath of rattan,v,,,,
ngua,,"menjenguk, memeriksa.","to visit, to check",v,,,,
nguat,,sakit perut yang kadang - kadang kumat,stomach pain that sometimes recurs,a,,,,
ngubas,,buah yang sudah pernah jatuh,fruit that once fell,n,,,,
ngude,,memaparkan,"to present, to explain",v,,,,
ngudeu,,terus-menerus,"continuously, constantly",adv,,,,
ngudi,,merias atau mempercantik wajah,to put on makeup,v,,,,
